rating,ratingLevel,ratingDescription,release year
PG-13,"crude and sexual humor, language and some drug content",80,2004
R,"strong violence, sexual content and adult language",100,2006
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008
R,language and brief violence,100,2011
TV-Y,Suitable for all ages.,10,2009
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
NR,This movie has not been rated.,124,2016
TV-Y,Suitable for all ages.,10,2013
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2007
NR,This movie has not been rated.,124,2013
NR,This movie has not been rated.,124,2013
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-MA,,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-MA,,110,2015
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
R,"bloody war violence, language throughout and some sexual material",100,2015
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
NR,This movie has not been rated.,124,2014
UR,"This movie has not been rated. Intended for adults only and may contain sex, violence, drugs, language or other adult themes.",124,2016
TV-MA,,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-MA,,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-14,,90,2017
TV-MA,,110,2016
NR,,124,2016
NR,This movie has not been rated.,124,2016
TV-14,,90,2015
TV-MA,,110,2016
R,"strong violence, sexual content and adult language",100,2006
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
NR,This movie has not been rated.,124,2016
TV-MA,,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,,110,2017
PG,"some thematic elements, rude humor and action",60,2016
R,"pervasive language, some sexual material, violence and drug use",100,2016
PG,mild thematic elements,60,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
R,"strong crude sexual content, pervasive language, and drug use",100,2016
PG,"for action, peril and brief language",60,2016
R,"some sexual material, and language throughout",100,2016
TV-MA,,110,2017
TV-MA,,110,2017
TV-MA,,110,2017
TV-14,,90,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-PG,,70,2016
TV-MA,,110,2016
R,"language, some drug use, violence and partial nudity",100,2004
R,"strong violence, sexual content and adult language",100,2006
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2009
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
R,some sexual material,100,2014
TV-MA,,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-14,,90,2017
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-PG,,70,2016
TV-MA,,110,2017
TV-MA,,110,2017
TV-MA,,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-14,,90,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-MA,,110,2017
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015
TV-MA,,110,2017
TV-MA,,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
NR,This movie has not been rated.,124,2016
R,strong sexual content and language,100,2001
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
PG,"thematic elements, scary images, action and peril",60,2016
TV-MA,,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
PG,"thematic elements, an accident scene and some suggestive material",60,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,,90,2017
TV-MA,,110,2017
TV-MA,,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-MA,,110,2016
NR,This movie has not been rated.,124,2014
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,,110,2016
NR,,124,2016
TV-14,,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-MA,,110,2016
TV-MA,,110,2016
NR,This movie has not been rated.,124,2016
PG,Parental guidance suggested. May not be suitable for children.,60,2007
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
R,Restricted. May be inappropriate for children 17 and under.,100,2014
R,some sexual material,100,2014
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-14,,90,2017
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015
PG,for thematic material and language,60,2016
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016
TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016
TV-MA,,110,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
TV-MA,,110,2016
TV-14,,90,2017
TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017
PG,Parental guidance suggested. May not be suitable for children.,60,2016
TV-MA,,110,2017
TV-MA,,110,2017
TV-PG,,70,2016
